BusinessEntityID,TerritoryID,SalesQuota,Bonus,CommissionPct,SalesYTD,SalesLastYear
274,,,0.0,0.0,559697.5639,0.0
275,2.0,300000.0,4100.0,0.012,3763178.1787,1750406.4785
276,4.0,250000.0,2000.0,0.015,4251368.5497,1439156.0291
277,3.0,250000.0,2500.0,0.015,3189418.3662,1997186.2037
278,6.0,250000.0,500.0,0.01,1453719.4653,1620276.8966
279,5.0,300000.0,6700.0,0.01,2315185.611,1849640.9418
280,1.0,250000.0,5000.0,0.01,1352577.1325,1927059.178
281,4.0,250000.0,3550.0,0.01,2458535.6169,2073505.9999
282,6.0,250000.0,5000.0,0.015,2604540.7172,2038234.6549
283,1.0,250000.0,3500.0,0.012,1573012.9383,1371635.3158
284,1.0,300000.0,3900.0,0.019,1576562.1966,0.0
285,,,0.0,0.0,172524.4512,0.0
286,9.0,250000.0,5650.0,0.018,1421810.9242,2278548.9776
287,,,0.0,0.0,519905.932,0.0
288,8.0,250000.0,75.0,0.018,1827066.7118,1307949.7917
289,10.0,250000.0,5150.0,0.02,4116871.2277,1635823.3967
290,7.0,250000.0,985.0,0.016,3121616.3202,2396539.7601
